,City Goals
US,"Là người chơi, tôi muốn biết mình cần làm những nhiệm vụ nào để hoàn thành một City để có định hướng khi chơi Game."
AC,Mỗi thành phố mới được Unlock sẽ cấp cho người chơi 3 nhiệm vụ theo 3 Tiers.
,"Mỗi Tier phải rút ngẫu nhiên nhiệm vụ từ Pool (Upgrade, Race, Explore, Collection)."
,Hiển thị đúng dạng Checkbox cho nhiệm vụ một lần và Counter cho nhiệm vụ tích lũy.
,
,
,City Goals
US,"Là người chơi, tôi muốn biết tiến trình các nhiệm vụ mình cần phải làm để hoàn thành một City"
AC,Update trạng thái của nhiệm vụ trong CityGoals mỗi khi người chơi đạt mốc hoàn thành.
,
,
,City Goals
US,"Là người chơi, tôi muốn được trao thưởng theo từng mốc hoàn thành các CityGoals"
AC,Kích hoạt trao thưởng cho người chơi khi hoàn thành bất cứ CityGoal nào từ Tiers 1 -> Tiers 3
,
,
,
,Unlock City & Car Rewards
US,"Là người chơi, tôi muốn được mở khóa City mới và nhận thêm 3 xe mới khi hoàn thành cả 3 Goal Tier của một City cũ"
AC,"Khi Goal Tier 3 trạng thái DONE, hệ thống mở khóa City tiếp theo"
,Người chơi nhận đúng 3 xe đặc trưng của City đó với mốc CR khởi đầu quy định (Ví dụ: City 2 nhận xe CR3)
,
,
,
,Free Visual Upgrade
US,"Là người chơi, tôi muốn được lắp đặt các phụ kiện ngoại hình miễn phí sau khi đã sở hữu chúng để có thể lắp đặt nhanh chóng"
AC,"Giá lắp đặt các Visual Part, Material và Decals phải hiển thị là $0"
,Dòng tiền chi tiêu (Spend) chỉ tập trung vào việc nâng cấp Performance (Hiệu năng)
,
,
,
,Nâng cấp Performance và Điều kiện qua màn
US,"Là người chơi, tôi muốn dùng Cash thu thập được từ các cuộc đua để nâng cấp xe"
AC,Chi phí nâng cấp 1 chỉ số tăng dần từ Lv0 -> Lv6
,Tổng chi phí nâng cấp xe lên CR3 (tất cả 4 chỉ số Lv3) tại các City phải bằng đúng tính toán gợi ý trong bảng Economy liên quan
,
,
,
,Hệ thống phần thưởng Token ngẫu nhiên
US,"Là người chơi, tôi muốn nhận được Token sau mỗi trận đua để bốc thăm vật phẩm ngẫu nhiên"
AC,Vật phẩm được rơi ra theo quy trình được quy định trong tài liệu Rewards
,"Tỉ lệ rơi vật phẩm trong Pool: Visual (50%), Performance (35%), Currency (15%)"
,Số lượng Item trong Pool phần thưởng của mỗi City tương ứng với các Item trong Sheet Pool Rewards của GD.
,
,
,
,Hệ thống phần thưởng Token ngẫu nhiên
US,"Là người chơi, tôi muốn cảm giác nhận được Token sau mỗi trận đua thú vị và hấp dẫn để có thể tiếp tục chơi."
AC,Hiệu ứng rơi vật phẩm thông qua Token phải thú vị và hấp dẫn
,
,
,
,
,Tính toán tiền tiêu (Spend) theo ScaleIndex
US,"Là hệ thống, tôi cần tự động nhân mức tiêu Cash khi nâng cấp theo cấp độ thành phố để đảm bảo cân bằng kinh tế"
AC,"Mức tiêu tại City 2 phải nhân với ScaleIndex 3.2, City 3 nhân 7, City 5 nhân 26 như trong phần Spend/Earn của tài liệu"
,
,
,Tính toán tiền thưởng (Earn) theo ScaleIndex
US,"Là hệ thống, tôi cần tự động nhân mức thưởng Cash theo cấp độ thành phố để đảm bảo cân bằng kinh tế"
AC,"Mức thưởng tại City 2 phải nhân với ScaleIndex 3.2, City 3 nhân 7, City 5 nhân 26 như trong phần Spend/Earn của tài liệu"
,
,
,
,
,
,
,
,
,
,Thưởng cho người chơi tích cực khám phá (New Race Bonus)
US,"Là người chơi, tôi muốn nhận thêm tiền thưởng khi lần đầu tiên hoàn thành hoặc thắng một Track mới"
AC,First Time Bonus và First Win Bonus chỉ được trao duy nhất 1 lần cho mỗi Track
,"Giá trị thưởng phải tăng theo City theo phần Spend/Earn của tài liệu (Ví dụ: City 1 là $75, City 5 là $1,500)"
,
,
,
,AI và A.I Difficulty
US,"Là người chơi, tôi muốn sức mạnh xe của A.I qua mỗi City tăng dần, cố định không thay đổi để đảm bảo game luôn thử thách và tôi có thể quay lại các City cũ để thống trị đường đua"
AC,CR xe A.I được Mapping đúng với bảng trong tài liệu Progression
