id,Subject,Type,Status,Assignee,Priority,Team,Accountable,Author,Category,Start date,Spent time,Sprint,Story Points,Remaining work,Total remaining work,Project phase,Project,Parent,Finish date,Description
148,Project Config,Epic,New,"",Normal,Devops,"",Son Nguyen,"",06/01/2026,0.0,"","","","","",VNRacing,"",06/01/2026,""
149,Programming,Summary task,New,P.H. Tan,Normal,Dev,"",Son Nguyen,"",06/01/2026,0.0,Sprint 1,"","","","",VNRacing,Epic #148: Project Config,"","ST tổng hợp tất cả các task liên quan về tổng thể của phần lập trình  
Topic quan trọng bao gồm  
Architect Design  
Project Rules  
Project Issues&nbsp;  
Devops"
150,Production,Project Phase,New,Son Nguyen,Normal,"",Son Nguyen,Son Nguyen,"",06/01/2026,0.0,"","","","","",VNRacing,"",06/10/2026,""
151,Drive Mode,Epic,New,"",High,Admin,"",Son Nguyen,"",06/01/2026,15.0,"","","",20.0,"",VNRacing,"",06/16/2026,""
168,VN TOUR - MAP ĐUA,Feature,New,"",Normal,Admin,"",Giang Dương Võ Trà,"",06/02/2026,94.0,"","","",413.2,"",VNRacing,Epic #183: VNTour ,06/24/2026,""
169,Huế City ,Feature,New,"",Normal,Admin,"",Giang Dương Võ Trà,"",06/02/2026,94.0,"","","",413.2,"",VNRacing,Feature #168: VN TOUR - MAP ĐUA,06/24/2026,""
170,Map Huế Đại Nội ,User story,In progress,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/02/2026,0.0,"","","",92.0,"",VNRacing,Feature #169: Huế City ,06/23/2026,""
171,Test,User story,Scheduled,Test User,Normal,Admin,"",Son Nguyen,"",06/04/2026,0.0,"","","","","",VNRacing,"","",""
183,VNTour ,Epic,New,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/02/2026,185.17999999999998,"","","",447.8,"",VNRacing,"",06/24/2026,""
185,"Dev_Implement_Là QA, tôi muốn kiểm tra các thông tin liên quan tới trao thưởng Cash cho người chơi thông qua đua để đối chiếu ngược với các giả thuyết của GD về Progression của người chơi.",Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,12.2,"","","",0.0,"",VNRacing,"User story #184: Là QA, tôi muốn kiểm tra các thông tin liên quan tới trao thưởng Cash cho người chơi thông qua đua (Số Cash đã trao thưởng, số Cash Target cho một City, Scale Index hiện tại) để đối chiếu ngược với các giả thuyết của GD về Progression của người chơi",06/10/2026,""
