ID WP,Subject,Type,Status,Assignee,Priority,Team,Work,Project,Finish date,Spent time,Start date,Created on,Updated on,Description
156,Drive Mode,Feature,In testing,,High,,,VNRacing,2026-02-04,P27DT3h35M23S,2025-10-28,2025-10-26T08:00:36.133Z,2026-02-03T08:09:47.529Z,"Feature tập hợp các tính năng liên quan tới cảm giác lái của xe, bao gồm:

*   Lái xe bình thường, Drift, sử dụng NOS.
    
*   Va chạm với môi trường, với xe khác.
    
*   Sử dụng các công cụ đặc biệt trong cuộc đua như Ramp, Pad Boost tốc độ."
197,"    Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",User story,,,,Game Design,,VNRacing,2026-02-03,P10DT5h6M,2025-11-04,2025-10-28T02:45:30.538Z,2026-02-03T08:22:33.099Z,
218,"    Tôi muốn trong khi đua,có phần infor của các player,có rank player - player title",User story,,,,,,VNRacing,2026-02-02,P6DT23h,2025-11-06,2025-10-28T08:36:11.210Z,2026-01-31T04:34:36.194Z,
392,In-Game Mini Map,User story,,Phuoc Ho Duc,,,,VNRacing,2026-01-12,P2DT1h34M48S,2025-11-04,2025-11-04T10:17:27.476Z,2026-01-23T07:54:06.293Z,"Là người chơi, tôi muốn có phần mini map trong lúc đua để có thể theo dõi chặng đua, Mini Map đẹp, dễ quan sát trên màn hình điện thoại"
1777,"Tôi muốn có cảm giác thoả mãn về chiếc xe của mình khi bắt đầu đua, Góc máy đẹp - Cinematic scene",User story,,Phuoc Ho Duc,,,,VNRacing,2026-01-29,17h,2025-10-28,2026-01-20T07:44:33.702Z,2026-01-24T07:58:11.651Z,
1995,"Là Player, tôi muốn xe có khả năng sử dụng các bục Ramp để bay lên cao, tạo cảm giác lái đa dạng hơn trong quá trình đua.",User story,,Phuoc Ho Duc,,,,VNRacing,2026-02-04,P5DT23h24M36S,2025-11-04,2026-01-29T02:27:50.312Z,2026-02-03T04:25:35.383Z,"Điều kiện hoàn thành:

<br>

1\. Hoàn thành chức năng sử dụng Ramp và cân bằng xe khi tiếp đất:

*   Xe có khả năng sử dụng Ramp để bay lên cao.
    
*   Xe có khả năng tự động ổn định khi tiếp đất.
    
*   Xe có khả năng tự động điều khiển hạn chế khi ở trên không.
    
*   Các khả năng điều khiển trên không và tự động cân bằng có thể được áp dụng trong các trường hợp xe đổi độ cao từ cao xuống thấp.
    

<br>

2\. GD cung cấp đủ các tài liệu:

*   Mô tả chức năng sử dụng Ramp của xe.
    
*   Control của xe khi ở trên không và cảm giác tiếp đất.
    
    <br>
    

3\. Dev hoàn thành các chức năng được mô tả trong GDD:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Các tính năng mới không xung đột với các chức năng cũ.
    
*   Các tính năng mới không gây ra Bug, hoạt động ổn định.
    
    <br>
    

4\. Performance

*   Các tính năng liên quan tới US không làm tụt FPS của Game.
    

<br>

5\. Sound &amp; Music

*   SFX liên quan tới các hoạt động của xe trên Screen.
    

<br>

<br>

<br>"
2039,"(Skill) Là Player, tôi muốn khi thực hiện các Skill trong khi đua sẽ được thưởng bằng cách Refill thanh NOS để có động lực thực hiện các kỹ năng này nhiều hơn.",User story,,,,,,VNRacing,2026-02-02,15h30M,2025-12-22,2026-01-30T02:20:28.566Z,2026-02-03T08:09:47.499Z,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng Skill:

*   Định nghĩa, phân loại các Skill và số lượng NOS tăng khi thực hiện các Skill đó.
    
*   Update Skill lên UI.
    
    <br>
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về phân loại và định nghĩa Skill, phương pháp kích hoạt.
    
*   Quy định số lượng NOS tăng khi thực hiện các Skill.
    
*   Thông tin hiển thị trên màn hình khi kích hoạt Skill
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
2047,End Game Screen Result & Rewards,User story,,,,,,VNRacing,2026-01-31,0S,2025-10-28,2026-01-30T06:07:43.114Z,2026-01-30T06:09:36.430Z,"Là Player, tôi muốn có một bảng thống kê kết quả và phần thưởng khi kết thúc một cuộc đua.

Điều kiện hoàn thành:  
1\. Thực hiện chức năng Screen Result:

*   Chức năng hiển thị kết quả cuộc đua và các thông tin cần thiết khi người chơi kết thúc cuộc đua.
    
*   Chức năng trao thưởng dựa trên hệ thống Progression.
    
*   Update thông tin cuộc đua liên tục ngay cả khi người chơi về đích.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về phân loại và định nghĩa Screen Results, điều kiện kích hoạt.
    
*   Các cơ chế liên quan khi kích hoạt Screen Results.
    
*   Mối quan hệ với cơ chế trao thưởng trong Progression.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
2048,Pause Game,User story,,,,,,VNRacing,2026-01-31,0S,2025-10-28,2026-01-30T06:17:53.837Z,2026-01-30T06:17:53.988Z,"Là Player, tôi muốn có khả năng Pause Game giữa cuộc đua để làm công việc khác sau đó quay trở lại.

Điều kiện hoàn thành:  
1\. Thực hiện chức năng Pause Game:

*   Hoàn thành chức năng Pause Game.
    
*   Chỉnh sửa ảnh hưởng của Pause Game lên các chức năng khác.
    
*   Kết nối với chức năng Game Setting.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Định nghĩa Pause Game và cách kích hoạt.
    
*   Ảnh hưởng của Pause Game lên các chức năng khác.
    
*   Kết nối Pause Game với chức năng Game Settings.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
157,"    Tôi muốn có cảm giác đua xe arcade,drift thu thập nos",User story,,,,,,VNRacing,2026-01-30,P3DT2h19M48S,2025-11-12,2025-10-26T08:00:38.243Z,2026-01-30T07:17:43.196Z,
