id,Subject,Type,Status,Assignee,Priority,Work,Total work,Version,Team,Story Points,Sprint,Project phase,Project,Position,Parent,Created on,Author,Accountable,Description
148,Project Config,Epic,New,"",Normal,"","","",Devops,"","","",VNRacing,1,"",06/01/2026 04:45 PM,Son Nguyen,"",""
149,Programming,Summary task,New,P.H. Tan,Normal,"","","",Dev,"",Sprint 1,"",VNRacing,1,Epic #148: Project Config,06/01/2026 04:46 PM,Son Nguyen,"","ST tổng hợp tất cả các task liên quan về tổng thể của phần lập trình  
Topic quan trọng bao gồm  
Architect Design  
Project Rules  
Project Issues&nbsp;  
Devops"
150,Production,Project Phase,New,Son Nguyen,Normal,"","","","","","","",VNRacing,2,"",06/01/2026 04:49 PM,Son Nguyen,Son Nguyen,""
151,Drive Mode,Epic,New,"",High,"",164.0,"",Admin,"","","",VNRacing,3,"",06/01/2026 04:52 PM,Son Nguyen,"",""
168,VN TOUR - MAP ĐUA,Feature,In specification,"",Normal,"",686.0,"",Admin,"","","",VNRacing,4,Epic #183: VNTour ,06/04/2026 11:01 AM,Giang Dương Võ Trà,"",""
169,Huế City ,Feature,New,"",Normal,"",686.0,"",Admin,"","","",VNRacing,5,Feature #168: VN TOUR - MAP ĐUA,06/04/2026 11:13 AM,Giang Dương Võ Trà,"",""
170,Map Huế Đại Nội ,User story,In progress,"",Normal,"",138.0,"",Game Design,"","","",VNRacing,6,Feature #169: Huế City ,06/04/2026 11:14 AM,Giang Dương Võ Trà,"",""
183,VNTour ,Epic,New,"",High,"",916.0,"",Game Design,"","","",VNRacing,7,"",06/04/2026 02:56 PM,Giang Dương Võ Trà,"",""
185,"Dev_Implement_Là QA, tôi muốn kiểm tra các thông tin liên quan tới trao thưởng Cash cho người chơi thông qua đua để đối chiếu ngược với các giả thuyết của GD về Progression của người chơi.",Summary task,Developed,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,9,"User story #184: Là QA, tôi muốn kiểm tra các thông tin liên quan tới trao thưởng Cash cho người chơi thông qua đua (Số Cash đã trao thưởng, số Cash Target cho một City, Scale Index hiện tại) để đối chiếu ngược với các giả thuyết của GD về Progression của người chơi",06/04/2026 02:59 PM,Giang Dương Võ Trà,"",""
187,Asset Assembly_Map Huế Đại Nội ,Summary task,Waiting for approve,Thống Trần Cao,Normal,40.0,"","",Level,"","","",VNRacing,11,User story #170: Map Huế Đại Nội ,06/04/2026 03:09 PM,Giang Dương Võ Trà,"",""
