No,,,Feature,Task,Estimation (H),Complexity (1 -5),Assign,Dependency,Deadline,QC
1,Phase 1,Contract Config Snapshot Foundation (Ngày 1-5),,,,,,,,
2,,,Backend Contract,P1-01A: Định nghĩa RPC/error contract backend v1,4,3,Nam Sơn,—,,Deliv: Chốt endpoint request/response error code và storage touchpoints cho snapshot race session submit result inventory command và reward command.
3,,,Unreal Integration Contract,P1-01B: Định nghĩa integration contract Unreal ↔ backend,4,3,Thịnh,P1-01A,,Deliv: Chốt payload client gửi/nhận callback retry hook và điểm thay local authority trong Unreal.
4,,,UI Contract,P1-01C: Định nghĩa UI command-state/error mapping,4,3,Duy,P1-01A,,Deliv: Chốt cách UI hiển thị loading success retry duplicate stale version invalid config và backend timeout.
5,,,Economy Contract,P1-01D: Định nghĩa economy/reward contract đầu vào cho backend,4,3,Đời,P1-01A,,Deliv: Chốt reward source reward payload duplicate policy config version và các field economy bắt buộc.
6,,,Data & Mapping,P1-02: Chuẩn hóa bộ dữ liệu item reward pool và customize,12,4,Thịnh,"P1-01B, P1-01D",,Deliv: Có schema dữ liệu rõ cho item reward pool customize và các điểm dùng trong UI/meta.
7,,,Reward System,P1-03: Thiết kế contract dữ liệu cho Reward System,8,4,Đời,"P1-01D, P1-02",,Deliv: Có contract cho race reward goal reward city unlock token/loot MVP và duplicate policy.
8,,,Reward System,P1-04: Triển khai Reward System core,16,4,Đời,P1-03,,Deliv: Các nguồn thưởng chính đi qua một resolver thống nhất không còn logic grant rời rạc.
9,,,Data Validation,P1-05: Xây bộ kiểm tra dữ liệu Reward,12,4,Đời,"P1-02, P1-03",,Deliv: Duplicate item invalid ref rarity/pool lỗi được phát hiện trước runtime.
10,,,Backend DevOps,P1-06: Setup local/staging Nakama cho progression RPC và storage,8,3,Nam Sơn,P1-01A,,Deliv: Backend environment chạy được có collection/key tối thiểu và account test để gọi RPC.
11,,,Backend Snapshot,P1-07: Thiết kế snapshot schema và bootstrap player objects,16,4,Nam Sơn,"P1-01A, P1-03, P1-06",,Deliv: Account mới có wallet/inventory/garage-lite/progression mặc định trên Nakama.
12,,,Backend Snapshot,P1-08: Triển khai Snapshot read API kèm current_config_version,8,3,Nam Sơn,P1-07,,Deliv: Client đọc được snapshot authoritative và biết config version hiện hành.
13,,,Backend Config,P1-09: Thiết kế config publish MVP lên Nakama storage,12,4,Nam Sơn,"P1-05, P1-06",,Deliv: Có active_version item_master_<version> car_registry_<version> reward_table_<version>.
