"Mã US","Nhóm tính năng","Tên US","Câu chuyện người dùng","Kết quả cần đạt","Vai trò chịu trách nhiệm chính","Vai trò phối hợp","Ưu tiên","Sprint dự kiến","Ước lượng giờ","Mức độ độc lập","Phụ thuộc","Tài liệu tham chiếu","Điểm cần chốt","Ghi chú xung đột","Hợp đồng Backend/Nakama","Điểm tích hợp Unreal","Trạng thái UI cần có","Dữ liệu/Config liên quan","Ảnh hưởng trạng thái người chơi","Tiêu chí nghiệm thu","Case lỗi / retry / duplicate","Checklist QC","Dữ liệu test cần chuẩn bị","Hạng mục bàn giao","Ngoài phạm vi","Trạng thái","QC Sign-off"
"US-00","Foundation","Nền tảng Snapshot và Config","Là team triển khai progression, tôi cần một nền snapshot/config authoritative để các luồng race, reward, inventory và garage cùng đọc một nguồn dữ liệu đáng tin cậy.","Nakama trở thành source of truth cho wallet, inventory, garage-lite, progression và config_version; Unreal chỉ dùng local save như cache hoặc migration input.","Backend/Nakama","Unreal Integration; Data/Economy/Progression; UI; QA/QC; PO/Design","P0","Sprint 1","56","Cao - nền tảng chung nhưng có thể QC bằng bootstrap/read config riêng","Chốt RPC contract; local/staging Nakama; config publish MVP","VNRacing_HLD.md; VNRacing_LLD.md; VNRacing_Plan_Progression_Update.md; VNRacing_Item_Car_Master_v1.3.xlsx","Chốt backend environment target: local-only, staging shared hay cả hai cho demo; chốt config compatibility policy khi client lệch version.","HLD/LLD mô tả hiện trạng client/local nhiều hơn backend-authoritative; plan yêu cầu Nakama là source of truth cho vertical slice.","RPC read_snapshot trả snapshot_meta, wallet, inventory, garage, progression, current_config_version; storage tối thiểu gồm player/snapshot_meta, wallet/balances, inventory/items, garage/cars, garage/loadouts, progression/tour, progression/goals, config/active_version, config/item_master_<version>, config/car_registry_<version>, config/reward_table_<version>; mọi mutation dùng version guard.","Tạo snapshot adapter trong Unreal; thay đọc local authority bằng read-only cache sau khi snapshot load thành công; expose snapshot cho VN Tour, Inventory, Garage và UI header.","loading; synced; sync-failed; offline-cache; retry; stale-config; invalid-config","Workbook sheets ITEM_MASTER, CAR_REGISTRY, CITY_LIST, CITY_LOOT_POOL, ITEM_VISUAL, ITEM_PERF, LOOTCRATE_TABLE; Nakama config active_version.","Khởi tạo hoặc cập nhật wallet, inventory, garage-lite, progression; local save chỉ là cache/migration input.","Account mới load được snapshot mặc định; snapshot có current_config_version; config storage có active_version và các bảng tối thiểu; stale write bị reject rõ reason; client reload không tạo lệch state.","Backend timeout cho phép retry read; stale object version reject không overwrite; config version thiếu trả invalid_config; retry read không tạo state mới trùng.","A) Account mới load được snapshot mặc định; B) Snapshot trả đúng current_config_version; C) Config active_version và các bảng tối thiểu tồn tại; D) Stale version/invalid config bị báo lỗi rõ và không ghi đè state.","Account mới; account có local save cũ; config version hợp lệ và lệch; item/car mẫu từ workbook.","RPC/storage contract; snapshot schema; config publish MVP; Unreal adapter skeleton; UI state mapping foundation; smoke checklist.","Production ops dashboard; full migration mọi save domain; Store/IAP; deterministic anti-cheat.","Draft",""
"US-01","VN Tour Goals","Hiển thị City Goals và tiến trình VN Tour","Là người chơi, tôi muốn thấy mục tiêu City và tiến trình VN Tour của mình để biết nên đua, nâng cấp hoặc sưu tập gì tiếp theo.","VN Tour UI hiển thị city/area/track, 3 tier goals, trạng thái checkbox/counter và unlock state dựa trên snapshot authoritative.","Unreal Integration","UI; Backend/Nakama; Data/Economy/Progression; QA/QC; PO/Design","P0","Sprint 1","32","Trung bình - phụ thuộc snapshot nhưng có thể QC bằng dữ liệu fixture","US-00; goal config; VN Tour UI binding","Progression_V8.md; PlayerState_V1.md; VNRacing_HLD.md; VNRacing_LLD.md; VNRacing_Plan_Progression_Update.md","Chốt goal seed/roll policy cho mỗi City và thời điểm tạo 3 Tier Goal; chốt cách hiển thị goal chưa có bản dịch cuối.","Sample cũ nói mỗi City unlock cấp 3 nhiệm vụ theo Tier; Progression_V8 nói mỗi Tier rút ngẫu nhiên từ pool và chỉ có một Goal hiện tại trong mỗi Tier.","Snapshot progression/tour và progression/goals trả city_id, unlock_state, track_progress, active_goals, progress_current, progress_target, reward_preview, claim_state hoặc grant_state.","ProgressionCenter/VN Tour map đọc từ snapshot adapter; không tự mutate local progression; bind callback khi command result cập nhật goal.","goal loading; goal synced; completed; claimable hoặc granted; locked city; empty goal; sync-failed; retry","Goal pool theo Progression_V8; city_id từ CITY_LIST; track/city hierarchy; reward_preview từ reward_table_<version>.","Đọc và hiển thị city unlock, track completion, goal progress; chưa grant thưởng nếu chưa qua command path.","Mở VN Tour sau snapshot load thấy đúng City hiện tại; 3 tier goals hiển thị đúng loại checkbox/counter; hoàn thành race fixture cập nhật progress; reload giữ progress từ server.","Snapshot lỗi hiển thị offline-cache nếu có cache; stale goal payload bị reject; duplicate UI refresh không nhân progress; missing goal config hiện invalid_config.","A) VN Tour hiển thị đúng City/Area/Track từ snapshot; B) 3 Tier Goals hiển thị đúng checkbox/counter; C) Progress cập nhật sau command/race fixture; D) Reload hoặc offline-cache không làm lệch tiến trình.","Snapshot fixture gồm City 1 active, City 2 locked; goal Upgrade/Race/Explore/Collection mẫu; track completion mẫu.","VN Tour/Goal UI binding; goal field mapping; fixture test; QC checklist theo màn hình.","Full goal pool cho mọi biến thể nếu data chưa đủ; animation polish; achievement ngoài VN Tour.","Draft",""
"US-02","Race Authority","Tạo race session và gửi kết quả race","Là người chơi, tôi muốn bắt đầu race và gửi kết quả hợp lệ để tiến trình sau race được xử lý công bằng bởi server.","Client tạo PvE race_session_id trước khi đua, pin config_version, gửi result cuối race và nhận command result từ backend.","Backend/Nakama","Unreal Integration; UI; Data/Economy/Progression; QA/QC","P0","Sprint 2","44","Trung bình - cần snapshot/config nhưng có thể QC riêng bằng RPC","US-00; track/car config; race result contract","VNRacing_HLD.md; VNRacing_LLD.md; VNRacing_Plan_Progression_Update.md; Progression_V8.md","Chốt race invalid handling: reject/no grant hay manual review queue; chốt session expiry; chốt Fuel hard-block hay cho cache rồi reconcile.","LLD hiện có URaceSessionSubsystem quản Fuel riêng; plan yêu cầu backend validate session/result và không để client tự grant.","RPC start_pve_race_session nhận player_id, car_id, track_id, client_config_version; trả race_session_id, config_version, session_expiry, allowed_car/track, fuel_status. RPC submit_pve_race_result nhận race_session_id, event_id, finish_position, time, lap/checkpoint summary, client_meta; trả accepted/rejected, reason, reward_payload hoặc no_grant.","Race flow gọi start trước load race hoặc trước countdown; RaceTrackManager/ProgressionCenter gửi result cuối race; tắt local grant sau race.","start loading; race-start blocked; submit loading; submit success; submit rejected; retry; backend-timeout","Track/city config; car_registry_<version>; Fuel state; race session storage; config_version pinned.","Có thể trừ Fuel nếu policy backend hard-block được chốt; chưa cập nhật wallet/inventory trực tiếp ngoài reward grant.","Race hợp lệ tạo session và submit thành công; session pin đúng config_version; car/track invalid bị reject; result impossible bị reject rõ reason; client không tự cộng reward local.","Retry submit cùng event_id không tạo session/result mới ngoài idempotency của grant; expired session reject; network timeout cho retry; duplicate submit trả kết quả đã xử lý hoặc duplicate reason.","A) Start race tạo race_session_id và pin config_version; B) Car/track hợp lệ được chấp nhận, invalid bị reject rõ reason; C) Submit result hợp lệ trả command result; D) Client không tự grant reward trước khi backend xác nhận.","Account có Fuel; account Fuel 0; car owned/unowned; track locked/unlocked; race result valid/impossible; config version lệch.","Race session RPC; submit result RPC; Unreal integration hook; UI error mapping; QA test matrix.","Deterministic replay anti-cheat; dedicated UE server authority cho PvE; PvP authority.","Draft",""
"US-03","Reward Ledger","Grant reward sau race và chống grant trùng","Là người chơi, tôi muốn phần thưởng sau race được cộng đúng một lần, kể cả khi mạng lỗi và game phải gửi lại kết quả.","Reward resolver xử lý race reward theo config_version đã pin, ghi ledger bằng event_id và grant wallet/inventory/progression idempotent.","Backend/Nakama","Data/Economy/Progression; Unreal Integration; UI; QA/QC","P0","Sprint 2","52","Trung bình - phụ thuộc submit result nhưng ledger có thể unit/smoke test riêng","US-00; US-02; reward resolver; storage version guard","VNRacing_Plan_Progression_Update.md; Progression_V8.md; Item_Rewards_V2.md; PlayerState_V1.md; VNRacing_LLD.md","Chốt write order khi partial failure; chốt retry response cho pending/failed ledger; chốt reward source taxonomy cho race/goal/city_unlock/migration/commerce_future.","Reward probability giữa Progression_V8 và Item_Rewards_V2 khác nhau; cần ghi conflict tại reward config, không tự chọn nếu chưa chốt.","Ledger rewards/ledger/<event_id> gồm source_type, source_ref, player_id, config_version, grant_status, payload_hash, resolved_rewards, created_at, committed_at; mutation wallet/inventory/progression dùng optimistic version guard; retry cùng event_id trả cùng resolved_rewards khi committed.","Unreal gửi event_id ổn định cho một submit; nhận authoritative delta rồi refresh snapshot/cache; không gọi local EarnCurrency/AddItem trực tiếp ngoài adapter sync.","reward resolving; reward granted; duplicate acknowledged; reward failed; retry available","reward_table_<version>; race cash formula; first time/win bonus; wallet balances; inventory items; ledger event_id.","Cộng Cash/Fuel hoặc item vào wallet/inventory; cập nhật progression/goals-lite nếu race result đủ điều kiện; ghi last_granted_at và acquisition_source.","Race valid grant đúng delta; retry cùng event_id không cộng lần hai; payload_hash khác cho cùng event_id bị reject; ledger audit được pending/committed/failed; wallet/inventory version tăng đúng.","Duplicate event_id trả duplicate/committed kèm payload cũ; partial failure để pending/failed và không double grant; stale wallet/inventory version retry an toàn; invalid config no grant.","A) Race reward được grant đúng delta; B) Retry cùng event_id không cộng thưởng lần hai; C) Ledger ghi được pending/committed/failed và audit được; D) Payload mismatch/stale version/invalid config không làm sai wallet hoặc inventory.","Race result valid; event_id cố định; account wallet/inventory baseline; reward config có Cash và item; duplicate submit case.","Reward resolver race slice; ledger schema; idempotent grant; backend smoke tests; debug payload tối thiểu.","Full anti-cheat; full BI analytics; commerce transaction grant.","Draft",""
"US-04","Reward UI","Hiển thị reward/result screen theo server payload","Là người chơi, tôi muốn màn hình kết quả sau race hiển thị đúng phần thưởng server trả về để biết mình vừa nhận được gì và trạng thái đồng bộ ra sao.","Result screen dùng server reward_payload/delta làm nguồn hiển thị, có trạng thái loading, success, retry, duplicate và error reason rõ ràng.","UI","Unreal Integration; Backend/Nakama; Data/Economy/Progression; QA/QC","P0","Sprint 2","28","Cao - có thể QC bằng mock payload sau khi contract chốt","US-02; US-03; UI state contract","VNRacing_HLD.md; VNRacing_LLD.md; PlayerState_V1.md; Item_Rewards_V2.md; VNRacing_Plan_Progression_Update.md","Chốt copywriting cho error reason người chơi thấy và reason debug QA thấy; chốt duplicate success có hiện toast hay im lặng.","PlayerState chỉ nói Post-Race Result hiển thị Cash cộng thêm; plan mở rộng result screen hiển thị server reward payload gồm item/progression delta.","Command result trả status, reason_code, reward_payload, wallet_delta, inventory_delta, progression_delta, ledger_status, snapshot_version_after.","Result screen subscribe command result từ integration adapter; refresh wallet/inventory/progression sau success; không render reward tự tính từ client.","submitting; resolving reward; success; duplicate-safe success; sync-failed; retry; no-reward; invalid-result","Reward payload fields; item display_name/icon từ ITEM_MASTER; wallet icons Cash/Fuel/Click hoặc Coin; ledger_status.","Hiển thị delta vừa grant; cập nhật header wallet sau sync; không mutate state nếu command fail.","Payload Cash-only, item-only và mixed hiển thị đúng; duplicate retry không nhân animation nhận thưởng; error reason hiển thị đúng; reload sau success vẫn khớp snapshot.","Timeout giữ nút retry; duplicate success không cộng lại trên UI; invalid result không hiện reward; missing item icon dùng fallback và log data issue.","A) Result screen hiển thị đúng reward_payload server trả về; B) Wallet/inventory/progression delta hiển thị và sync đúng; C) Duplicate/retry không nhân animation hoặc số thưởng; D) Error reason và nút retry rõ ràng khi command fail/timeout.","Mock payload success/error/duplicate; item icon/name mẫu; account baseline wallet để so delta.","Result UI states; reward payload binding; error/retry mapping; QC checklist màn kết quả.","Reward reveal animation polish; loot crate reveal nâng cao; production telemetry dashboard.","Draft",""
"US-05","Goals Reward","Hoàn thành Goal và nhận thưởng Goal","Là người chơi, tôi muốn khi hoàn thành Goal thì tiến trình và phần thưởng của Goal được xử lý rõ ràng, không bị nhận trùng.","Một luồng Goal representative có thể complete và grant thưởng đúng một lần qua reward resolver/ledger, với UI phản hồi trạng thái claim hoặc granted.","Data/Economy/Progression","Backend/Nakama; Unreal Integration; UI; QA/QC; PO/Design","P1","Sprint 2","32","Trung bình - phụ thuộc snapshot và reward resolver, có thể làm representative slice","US-00; US-01; US-03","Progression_V8.md; VNRacing_Plan_Progression_Update.md; Item_Rewards_V2.md; PlayerState_V1.md","Chốt Goal reward mode: auto-grant ngay khi complete hay manual claim; chốt nếu complete nhiều Goal trong một command thì thứ tự grant.","Progression_V8 mô tả Goal có Rewards theo tier; kế hoạch còn mở auto-grant vs manual claim nên chưa được tự quyết.","RPC hoặc command complete/claim_goal nhận goal_id, city_id, event_id, snapshot_version; trả goal_state, reward_payload, ledger_status, next_goal_or_city_state.","VN Tour UI gọi claim nếu manual; nếu auto-grant thì chỉ nhận delta từ race/result command; adapter refresh goal snapshot sau grant.","in-progress; completed; claimable; claiming; granted; duplicate claim; claim failed","Goal tier config; reward_table goal source; ledger source_type=goal; goal progress counters.","Cập nhật progression/goals claim_state; cộng reward vào wallet/inventory; đánh dấu goal granted một lần.","Goal đạt target chuyển completed/claimable hoặc granted theo policy chốt; claim/grant tạo ledger; retry không grant trùng; UI reload vẫn thấy state đúng.","Duplicate claim trả already_granted kèm payload cũ hoặc state; stale snapshot reject; missing reward config no grant; network timeout cho retry an toàn.","A) Goal đạt target chuyển đúng completed/claimable/granted theo policy; B) Reward Goal đi qua resolver/ledger; C) Claim/retry không grant trùng; D) Reload vẫn giữ đúng goal_state và reward_state từ server.","Account gần hoàn thành Tier 1; goal reward Common Visual x3/Cash mẫu; event_id claim cố định.","Goal reward representative slice; backend command; UI claim/granted state; QC checklist.","Full goal pool polish; achievement rewards; mọi tổ hợp nhiều goal complete cùng lúc nếu chưa chốt.","Draft",""
"US-06","City Unlock","Mở khóa City mới và nhận xe thưởng","Là người chơi, tôi muốn khi hoàn thành City thì City tiếp theo mở khóa và tôi nhận đúng các xe thưởng để tiếp tục VN Tour.","Hoàn thành đủ điều kiện City unlock sẽ mở City kế tiếp, grant 3 xe theo city/config và cập nhật garage-lite/inventory visual mặc định.","Data/Economy/Progression","Backend/Nakama; Unreal Integration; UI; QA/QC; PO/Design","P1","Sprint 2","36","Trung bình - phụ thuộc goal completion và garage-lite, có thể QC bằng City 1 -> City 2","US-00; US-01; US-03; US-05","Progression_V8.md; PlayerState_V1.md; CarCustomize_V2.md; VNRacing_Item_Car_Master_v1.3.xlsx; VNRacing_Plan_Progression_Update.md","Chốt City completion condition trong slice: Tier 3 DONE, về nhất 100% track hay representative condition; chốt danh sách xe thật theo workbook nếu lệch CR doc.","Progression_V8 nói City 2 xe unlock CR3; workbook CAR_REGISTRY City Huế đang có car_toy_1 CR_base 3 và CITY_LIST CR_min 4, cần PO/Data xác nhận mapping cuối.","Command city_unlock hoặc goal Tier 3 grant trả unlocked_city_id, granted_cars, default_visual_items, garage_delta, progression_delta, ledger_status; source_type=city_unlock.","VN Tour nhận city unlock delta; Garage adapter thêm owned cars và default loadout; Inventory adapter thêm visual mặc định ở trạng thái Unlocked.","city locked; unlock animation/state; new cars received; garage synced; inventory synced; duplicate-safe","CITY_LIST; CAR_REGISTRY; ITEM_VISUAL default_parts; Progression city CR mapping; reward_table city_unlock.","Mở khóa progression/tour city; thêm garage/cars owned; thêm default visual vào inventory; selected car policy nếu được chốt.","Hoàn thành điều kiện City 1 mở City 2; đúng 3 xe được grant một lần; default visual đi kèm được Unlocked; retry không nhân xe/item; VN Tour và Garage reload khớp server.","Duplicate unlock trả already_unlocked; thiếu car_id/config reject invalid_config; partial grant không tạo xe trùng; stale state retry an toàn.","A) Hoàn thành điều kiện City unlock mở đúng City kế tiếp; B) Grant đúng 3 xe theo config; C) Default visual đi kèm xe được thêm đúng vào inventory; D) Retry/duplicate unlock không tạo thêm xe hoặc item trùng.","Account đã hoàn thành Tier 3 City 1; car registry Huế mẫu; default visual items mẫu; account đã unlock sẵn để test duplicate.","City unlock command/slice; garage-lite update; UI unlock state; data mapping report; QC checklist.","Full cinematic unlock polish; all city chains nếu data chưa đủ; car shop/purchase flow.","Draft",""
"US-07","Token/Loot MVP","Token/Loot reward MVP","Là người chơi, tôi muốn nhận Token hoặc mở Loot reward để có phần thưởng ngẫu nhiên theo cấu hình hiện hành.","Token/Loot MVP resolve reward qua config, rarity, pool theo City và trả kết quả cuối cùng cho inventory/wallet, chưa cần polish mở hòm đầy đủ.","Data/Economy/Progression","Backend/Nakama; UI; Unreal Integration; QA/QC; PO/Design","P1","Sprint 2","36","Trung bình - dùng chung reward resolver, có thể QC bằng token command fixture","US-00; US-03; US-04","Item_Rewards_V2.md; Progression_V8.md; VNRacing_Item_Car_Master_v1.3.xlsx; VNRacing_Plan_Progression_Update.md","Chốt reward probability chính thức; chốt duplicate visual compensation table còn thiếu; chốt Loot Crate tiers dùng trong MVP.","Progression_V8 ghi Visual 50 / Performance 35 / Currency 15; Item_Rewards_V2 ghi Visual 40 / Performance 30 / Loot Crate 30. Item_Rewards thiếu bảng Cash compensation cho duplicate Visual.","Reward resolver hỗ trợ source_type=race_token hoặc loot_crate; nhận token_count/box_catalog_id, city_id, event_id, config_version; trả resolved_rewards cuối cùng và duplicate_resolution.","Inventory UI hoặc result flow gửi open token/loot command; Unreal chỉ hiển thị reward cuối từ payload; không tự random client-side.","open loading; reward resolved; duplicate converted; no eligible reward; retry; failed","CITY_LOOT_POOL; ITEM_MASTER; ITEM_VISUAL; ITEM_PERF; LOOTCRATE_TABLE; reward probability config; rarity table Common/UnCommon/Rare.","Grant item vào inventory hoặc currency vào wallet; Visual quantity giữ 1; duplicate chuyển Cash khi rule chốt.","Token count theo vị trí hoặc loot tier; random type/rarity/pool theo config đã chốt; item không eligible không rơi; duplicate visual xử lý MVP không làm sai inventory; retry không grant trùng.","Duplicate trong cùng batch reroll một lần rồi convert theo rule nếu có; thiếu compensation table ghi needs_decision; empty pool trả no_eligible_reward; retry cùng event_id idempotent.","A) Token/Loot resolve theo probability và pool đã chốt; B) Reward trả về đúng type/rarity/item hợp lệ; C) Duplicate Visual xử lý theo rule MVP và không sai inventory; D) Retry cùng event_id không grant thêm reward.","Reward pool DN/HU; account sở hữu sẵn một Visual; loot_silver_01 mẫu; token_count fixtures; config có conflict flag.","Token/Loot resolver MVP; payload schema; UI result MVP binding; data validation notes; QC cases.","Full reveal animation; full same-batch duplicate polish; long-run probability balancing; shop purchase loot crate.","Draft",""
"US-08","Inventory Command","Inventory equip/use theo command path","Là người chơi, tôi muốn sử dụng hoặc trang bị item trong Inventory và thấy kết quả được đồng bộ đúng với server.","Inventory mutation tối thiểu đi qua command path chuẩn bị backend sync; item use/equip cập nhật wallet/inventory/garage-lite theo authoritative delta.","Unreal Integration","Backend/Nakama; UI; Data/Economy/Progression; QA/QC","P1","Sprint 3","40","Trung bình - phụ thuộc snapshot/inventory schema nhưng có thể QC bằng vài item type","US-00; US-03; US-04","PlayerState_V1.md; VNRacing_LLD.md; VNRacing_Plan_Progression_Update.md; VNRacing_Item_Car_Master_v1.3.xlsx","Chốt Inventory mutation MVP gồm add/equip hay thêm use/remove; chốt use effect nào cần trong slice.","PlayerState nói CurrencyItem trong Inventory chỉ chuyển vào Wallet khi người chơi Use; plan để mở tùy scope add/equip/use.","Command inventory_mutation nhận action=equip/use, item_id, quantity, target_car_id/slot nếu có, event_id, snapshot_version; trả inventory_delta, wallet_delta, garage_delta, command_status.","UInventoryManager hoặc adapter không mutate local trực tiếp khi online; các điểm vào Inventory/Customize dùng cùng command path; refresh cache sau command success.","item selected; action available; command loading; success; insufficient quantity; invalid target; sync-failed; retry","ITEM_MASTER on_use_effect; ITEM_VISUAL ownership_state; ITEM_PERF; wallet currencies; garage loadouts.","Use CurrencyItem cộng wallet và giảm quantity; equip Visual cập nhật ownership_state/equipped và garage loadout; quantity 0 item non-visual biến mất.","Use item có on_use_effect cập nhật wallet/inventory đúng; equip visual chỉ khi owned/unlocked; retry không trừ quantity hai lần; UI reload khớp snapshot.","Duplicate event_id idempotent; insufficient quantity reject; locked item reject; invalid slot reject; backend timeout giữ state cũ và cho retry.","A) Use item có on_use_effect cập nhật đúng wallet/inventory; B) Equip Visual chỉ thành công khi item hợp lệ và đã sở hữu; C) Quantity về 0 xử lý đúng hiển thị và state; D) Retry/timeout/duplicate không trừ item hoặc cộng wallet hai lần.","Account có CurrencyItem; Visual unlocked/equipped; locked item fixture; target car owned; wallet baseline.","Inventory command contract; Unreal adapter; UI action state mapping; QC checklist.","Full shop buy flow; favorite/sort polish; all item effect types nếu chưa phục vụ slice.","Draft",""
"US-09","Visual Customize","Quyền sở hữu và apply Visual Customize","Là người chơi, tôi muốn preview, mua lần đầu hoặc apply visual đã sở hữu mà không làm lệch Inventory/Garage.","Customize Visual kiểm tra ownership_state, purchase/apply đúng rule, lưu loadout vào garage-lite và không cho apply item locked.","Unreal Integration","UI; Backend/Nakama; Data/Economy/Progression; QA/QC; PO/Design","P1","Sprint 3","36","Trung bình - cần inventory/garage-lite nhưng có thể QC từng visual slot","US-00; US-08","CarCustomize_V2.md; PlayerState_V1.md; VNRacing_Item_Car_Master_v1.3.xlsx; VNRacing_Plan_Progression_Update.md","Chốt chi phí apply/purchase visual chính thức cho slice; chốt purchase visual có nằm trong 15 ngày hay chỉ apply owned.","Sample cũ nói visual apply free $0; CarCustomize_V2 nói Unlocked nhưng chưa Purchased tốn $20 và Purchased là $0. Progression_V8 còn nêu giá Visual City 1 $50 trong economy, cần PO/Data chốt.","Command visual_customize nhận action=purchase_apply hoặc apply, car_id, slot, item_id, event_id, snapshot_version; validate ownership_state và cost; trả wallet_delta, inventory_delta, garage_delta.","CarCustomizationManager dùng adapter command cho purchase/apply online; preview local chỉ là visual tạm và revert khi thoát nếu không command success.","locked preview; unlocked needs purchase; purchased apply $0; applying; insufficient cash; success; sync-failed","ITEM_VISUAL slots; ITEM_MASTER; CAR_REGISTRY default_parts; cost config; garage/loadouts equipped_visual_slots.","Có thể trừ Cash nếu purchase_apply được chốt; cập nhật inventory ownership_state purchased/equipped; cập nhật garage loadout.","Locked item preview được nhưng không purchase/apply; unlocked chưa purchased xử lý đúng cost theo rule chốt; purchased apply $0; reload giữ loadout; insufficient Cash không đổi state.","Duplicate command không trừ Cash thêm; stale snapshot reject; invalid slot reject; timeout revert preview về trạng thái trước; missing item config invalid_config.","A) Locked Visual chỉ được preview, không được apply; B) Unlocked/Purchased Visual xử lý đúng cost rule đã chốt; C) Apply thành công cập nhật garage loadout và inventory state; D) Fail/timeout/retry không làm preview trở thành state thật.","Xe owned; Visual locked/unlocked/purchased; Cash đủ/thiếu; slot FrontBumper/Material/Decal mẫu.","Visual command path; UI state mapping; garage-lite loadout update; conflict note for cost decision.","Full customize shop; camera polish; all art/effect polish; material/decal edge cases nâng cao.","Draft",""
