id,Subject,Type,Status,Assignee,Priority,Team,Work,Total work,Author,Category,Version,Bug Types,Project phase,Project,Parent,Description
156,Drive Mode,Feature,In testing,"",High,"","",995.0,Son  Nguyen ,"","","","",VNRacing,"","Feature tập hợp các tính năng liên quan tới cảm giác lái của xe, bao gồm:

*   Lái xe bình thường, Drift, sử dụng NOS.
    
*   Va chạm với môi trường, với xe khác.
    
*   Sử dụng các công cụ đặc biệt trong cuộc đua như Ramp, Pad Boost tốc độ.  
      
    
    https://www.notion.so/sss-click/Drive-Mode-2fcd1a0054d280cd8897ec9bcd73aa17?source=copy\_link"
157,"    Tôi muốn có cảm giác đua xe arcade,drift để thu thập nos",User story,In testing,"",Normal,"","",187.0,Son  Nguyen ,"","","","",VNRacing,Feature #156: Drive Mode,""
173,Tech Art Documentation,Feature,In progress,Phu Pham,Normal,"","",4.0,Son  Nguyen ,"","","","",VNRacing,Epic #210: Technical Art,""
197,"    Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",User story,In testing,"",High,"","",300.5,Giang Duong Vo Tra,Game Design,"","","",VNRacing,Feature #156: Drive Mode,""
205,User Profiles,Feature,New,"",Normal,"","",240.5,Giang Duong Vo Tra,"","","","",VNRacing,"",""
206,"(UserProfile) Là Player, tôi muốn được xem các thông tin tổng quan về quá trình chơi của tôi (Giờ chơi, số lượng Track đã Unlock, v.v) để tự bao quát được quá trình chơi Game này.",User story,In progress,"",Normal,"","",240.5,Giang Duong Vo Tra,"","","","",VNRacing,Feature #205: User Profiles,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng UserProfile:

*   Cho phép người chơi xem được các thông tin tổng quan của mình trong quá trình chơi Game.
    
*   Cho phép người chơi thực hiện các tác vụ cơ bản như đổi tên, xem player ID, đổi Avatar, v.v.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin sẽ hiển thị trên User Profile.
    
*   Các chức năng người dùng có thể thực hiện được trong User Profile.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Thiết kế các luồng giao diện phụ để người chơi có thể truy cập các tính năng trong này.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   Nhạc nền riêng khi vào Screen của US này.
    
*   SFX liên quan tới các tương tác trên Screen."
210,Technical Art,Epic,In progress,"",Normal,"","",185.0,Giang Duong Vo Tra,"","","","",VNRacing,"","Yêu cầu kỹ thuật cho Hạng mục Technical Art&nbsp;

1.  Style &amp; Art Breakdown
    
    Tài liệu thể hiện việc lựa chọn Style, các đặc điểm mỹ thuật từ các game tham khảo,
    
    <br>
    
2.  Technology  
    Engine sử dụng
    
    Platform
    
    Rendering method
    
    Lighting Techniques 
    
    Shadown Techniques
    
    Assets Making techniques 
    
    FX Making Techniques
    
    <br>
    
3.  Stresss Test
    
    Bài test một level mẫu để đảm bảo các yếu tố 2 và 1 được lựa chọn đúng đắn, nếu không đúng phải lặp lại quy trình 
    
    <br>
    
4.  level &amp; Scene config
    
    Hướng dẫn lighting config và scene config cho level Desinger, ghi rõ các thống số và mức tải.
    
    <br>
    
5.  Assets Guide line
    
    Viết tài liệu hướng dẫn về 
    
    <br>
    
6.  Optimization techniques"
217,Game Scene,Epic,New,"",Normal,"","","",Son  Nguyen ,"","","","",VNRacing,"",""
218,"    Tôi muốn trong khi đua,có phần infor của các player,có rank player - player title",User story,In progress,"",High,"","",175.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #156: Drive Mode,""
221,Gamemode _MultiPlayer_Play Online,User story,On hold,"",Normal,"","",4.0,Son  Nguyen ,"","","","",VNRacing,User story #375:    Tôi muốn có nhiều Game Mode,""
222,    Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,User story,On hold,Phuoc Ho Duc,Normal,"","","",Son  Nguyen ,"","","","",VNRacing,User story #221: Gamemode _MultiPlayer_Play Online,""
244,        Setup CI/CD pipeline cho game server builds,Task,On hold,Tan  Phan Huynh,Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
246,        Lên kế hoạch chi tiết phần lập trình demo multiplayer Racing,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
247,        Lên kế hoạch phần lập trình multiplayer Racing,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
250,"        Nakama kiểm tra tình trạng game server được nhận,xác nhận tình trạng và thực hiện chu trình lock server",Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
251,"        Game server hồi đáp với Nakama về tình trạng của bản thân,đáp ứng lock server và chờ người chơi đăng nhập",Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
252,        Thiết kế architecture tổng quan cho multiplayer module,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
253,        Setup Perforce workflow và branching strategy cho multiplayer,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
254,        Định nghĩa data structures cho matchmaking và game session,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
255,        Define matchmaking flow và state machine,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
256,        Code review backend matchmaking logic,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
257,        Test matchmaking với multiple clients,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
258,        Document API endpoints và protocols,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
261,"        Handle match lifecycle (creation,start,end)",Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
269,        Review network replication architecture,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
