"Mã US","Nhóm tính năng","Tên US","Mục tiêu người dùng / hệ thống","Kết quả cần đạt","Vai trò chính","Vai trò phối hợp","Ưu tiên","Sprint","Phụ thuộc chính","Tài liệu tham chiếu","Tiêu chí nghiệm thu","Checklist QC","Ghi chú / Điểm cần chốt"
"US-00","Nền tảng","Nền tảng Snapshot và Config","Thiết lập nguồn dữ liệu đáng tin cậy để các luồng progression, reward, inventory và garage dùng chung.","Nakama giữ snapshot và config_version authoritative; client chỉ dùng local save như cache hoặc migration input.","Backend/Nakama","Unreal Integration; Data/Economy; UI; QA/QC; PO/Design","P0","Sprint 1","Config publish MVP; RPC contract; môi trường Nakama","HLD; LLD; Plan; Workbook","Account mới load được snapshot mặc định; config active_version tồn tại; stale write và invalid config bị từ chối rõ ràng; reload không làm lệch state.","A) Snapshot mặc định hợp lệ; B) current_config_version đúng; C) Config tối thiểu sẵn sàng; D) Stale/invalid không ghi đè state.","Source of truth: HLD/LLD cho kiến trúc, design docs cho behavior, workbook cho ID; backend environment và logging target còn cần chốt."
"US-01","VN Tour Goals","Hiển thị City Goals và tiến trình VN Tour","Người chơi thấy City hiện tại, mục tiêu theo tier và tiến trình VN Tour để biết việc cần làm tiếp theo.","VN Tour UI đọc snapshot, hiển thị city/area/track, 3 tier goals, progress và unlock state.","Unreal Integration","UI; Backend/Nakama; Data/Economy; QA/QC; PO/Design","P0","Sprint 1","US-00; goal config; VN Tour UI binding","HLD; LLD; Progression_V8; PlayerState; Plan","VN Tour mở đúng City hiện tại; 3 tier goals hiển thị đúng checkbox/counter; progress cập nhật sau command/race fixture; reload giữ tiến trình từ server.","A) City/Area/Track đúng snapshot; B) 3 Tier Goals đúng format; C) Progress cập nhật đúng; D) Reload/offline-cache không làm lệch tiến trình.","Cần chốt seed/roll policy cho goal và cách hiển thị goal chưa có bản dịch cuối."
"US-02","Race Authority","Tạo race session và gửi kết quả race","Người chơi bắt đầu race và gửi kết quả hợp lệ để server xử lý công bằng.","Client tạo race_session_id, pin config_version, submit result và nhận command result từ backend.","Backend/Nakama","Unreal Integration; UI; Data/Economy; QA/QC","P0","Sprint 2","US-00; track/car config; race result contract","HLD; LLD; Progression_V8; Plan","Race hợp lệ tạo session và submit thành công; config_version được pin; car/track/result invalid bị reject rõ reason; client không tự grant reward trước xác nhận backend.","A) Start race có race_session_id; B) Valid accepted, invalid rejected; C) Submit hợp lệ trả command result; D) Không local grant trước backend.","Cần chốt xử lý race invalid, session expiry và Fuel hard-block hay cache rồi reconcile."
"US-03","Reward Ledger","Grant reward sau race và chống grant trùng","Người chơi nhận reward sau race đúng một lần, kể cả khi retry do lỗi mạng.","Reward resolver dùng config_version đã pin, ghi ledger theo event_id và grant idempotent vào wallet/inventory/progression.","Backend/Nakama","Data/Economy; Unreal Integration; UI; QA/QC","P0","Sprint 2","US-00; US-02; reward resolver; storage version guard","LLD; Progression_V8; Item_Rewards; PlayerState; Plan","Race reward grant đúng delta; retry cùng event_id không cộng lần hai; payload mismatch bị reject; ledger audit được pending/committed/failed.","A) Delta reward đúng; B) Retry không double grant; C) Ledger audit được; D) Mismatch/stale/invalid không làm sai state.","Reward probability giữa Progression_V8 và Item_Rewards_V2 khác nhau; ghi conflict ở config, không tự chọn khi chưa chốt."
"US-04","Reward UI","Hiển thị reward/result screen theo server payload","Người chơi thấy phần thưởng sau race đúng theo payload server và trạng thái đồng bộ rõ ràng.","Result screen hiển thị reward_payload/delta từ server, hỗ trợ loading, success, retry, duplicate và error reason.","UI","Unreal Integration; Backend/Nakama; Data/Economy; QA/QC","P0","Sprint 2","US-02; US-03; UI state contract","HLD; LLD; PlayerState; Item_Rewards; Plan","Payload Cash-only, item-only và mixed hiển thị đúng; wallet/inventory/progression sync đúng; duplicate retry không nhân animation; error reason rõ.","A) Hiển thị đúng reward_payload; B) Delta sync đúng; C) Duplicate/retry không nhân thưởng; D) Error và retry rõ ràng.","Currency naming cần thống nhất hiển thị: Cash/Click/Fuel theo tài liệu so với Cash/Coin/Fuel ở implementation split."
"US-05","Goals Reward","Hoàn thành Goal và nhận thưởng Goal","Người chơi hoàn thành Goal và nhận thưởng rõ ràng, không bị nhận trùng.","Một Goal representative complete và grant thưởng một lần qua resolver/ledger, UI phản hồi claim hoặc granted.","Data/Economy","Backend/Nakama; Unreal Integration; UI; QA/QC; PO/Design","P1","Sprint 2","US-00; US-01; US-03","Progression_V8; Item_Rewards; PlayerState; Plan","Goal đạt target chuyển đúng state theo policy; reward đi qua resolver/ledger; retry không grant trùng; reload giữ goal_state và reward_state.","A) Goal state đúng policy; B) Reward qua ledger; C) Claim/retry không trùng; D) Reload giữ đúng state.","Goal reward mode còn mở: auto-grant khi complete hay manual claim; nếu nhiều Goal complete cùng lúc cần chốt thứ tự grant."
"US-06","City Unlock","Mở khóa City mới và nhận xe thưởng","Người chơi hoàn thành City, mở City tiếp theo và nhận xe thưởng để tiếp tục VN Tour.","City unlock cập nhật progression, grant 3 xe theo config và thêm default visual vào garage-lite/inventory.","Data/Economy","Backend/Nakama; Unreal Integration; UI; QA/QC; PO/Design","P1","Sprint 2","US-00; US-01; US-03; US-05","Progression_V8; PlayerState; CarCustomize; Workbook; Plan","Hoàn thành điều kiện City mở đúng City kế tiếp; grant đúng 3 xe một lần; default visual được thêm đúng; VN Tour và Garage reload khớp server.","A) Unlock đúng City; B) Grant đúng 3 xe; C) Default visual đúng inventory; D) Retry/duplicate không tạo thêm xe/item.","Cần chốt điều kiện hoàn thành City; mapping CR/xe giữa Progression_V8 và workbook còn có điểm lệch cần PO/Data xác nhận."
"US-07","Token/Loot MVP","Token/Loot reward MVP","Người chơi nhận Token hoặc mở Loot reward với kết quả ngẫu nhiên theo cấu hình hiện hành.","Token/Loot MVP resolve qua config, rarity và City pool, trả reward cuối cùng cho wallet/inventory.","Data/Economy","Backend/Nakama; UI; Unreal Integration; QA/QC; PO/Design","P1","Sprint 2","US-00; US-03; US-04","Progression_V8; Item_Rewards; Workbook; Plan","Token/Loot resolve theo probability và pool đã chốt; reward hợp lệ theo type/rarity/item; duplicate visual xử lý đúng rule MVP; retry idempotent.","A) Probability/pool đúng config; B) Reward hợp lệ; C) Duplicate Visual không sai inventory; D) Retry không grant thêm.","Reward probability conflict cần chốt; duplicate visual compensation table còn thiếu; Loot Crate tiers MVP cần xác nhận."
"US-08","Inventory Command","Inventory equip/use theo command path","Người chơi dùng hoặc trang bị item trong Inventory và thấy state đồng bộ đúng với server.","Inventory mutation tối thiểu đi qua command path, trả authoritative delta cho wallet/inventory/garage-lite.","Unreal Integration","Backend/Nakama; UI; Data/Economy; QA/QC","P1","Sprint 3","US-00; US-03; US-04","LLD; PlayerState; Workbook; Plan","Use item cập nhật wallet/inventory đúng; equip Visual chỉ thành công khi hợp lệ và đã sở hữu; quantity 0 xử lý đúng; retry/timeout/duplicate không double mutate.","A) Use effect đúng; B) Equip chỉ khi hợp lệ; C) Quantity/state đúng; D) Retry/timeout/duplicate an toàn.","Cần chốt phạm vi mutation MVP: equip/use/remove hay chỉ các case phục vụ vertical slice."
"US-09","Visual Customize","Quyền sở hữu và apply Visual Customize","Người chơi preview, mua lần đầu hoặc apply visual đã sở hữu mà không làm lệch Inventory/Garage.","Customize Visual validate ownership_state, cost rule và lưu loadout vào garage-lite khi command thành công.","Unreal Integration","UI; Backend/Nakama; Data/Economy; QA/QC; PO/Design","P1","Sprint 3","US-00; US-08","CarCustomize; PlayerState; Workbook; Plan","Locked Visual chỉ preview; Unlocked/Purchased xử lý đúng cost rule; apply cập nhật garage loadout và inventory state; fail/timeout không biến preview thành state thật.","A) Locked chỉ preview; B) Cost rule đúng; C) Loadout/inventory cập nhật đúng; D) Fail/retry không tạo state giả.","Visual cost conflict: sample cũ free, CarCustomize nói unlocked-not-purchased $20 và purchased $0, Progression economy còn nêu giá khác."
