id,Summary,Type,Estimation,Assignee,Day,Module,Details
PI-01,Profile Module Core - FPlayerProfileData + UProfanityFilter + UProfileManager,Task,8h,Đời,1,Profile,"Tạo FPlayerProfileData struct với Identity/Stats/Unlock/Economy/Timestamps fields. Tạo FAvatarInfo và FRaceResultData structs. Implement UProfanityFilter với Vietnamese (~30 words) + English (~20 words) + leetspeak detection (a→4 e→3 i→1 o→0 s→5 t→7). Implement UProfileManager với SetPlayerName (validation 3-20 chars + profanity) + SetAvatar + UpdateRaceStats + AddOnlineTime + GetAvailableAvatars + OnProfileUpdated event. Unit tests cho name validation và profanity filter."
PI-02,Inventory Module + Item Module - FItemDefinition + UItemDatabase + UInventoryManager,Task,8h,Đạt,1,Inventory/Item,"ITEM: Tạo EItemType/EItemRarity enums + FItemDefinition struct (Basic/Classification/Visual/CCV/CCP/LC/Economy fields) + FLootTableEntry. Implement UItemDatabase với cache + GetItemDefinition/IsStackable/GetItemsByType/GetItemsForCar. Setup DT_ItemDefinitions với 60 items (54 CCV + 3 CCP + 3 LC). INVENTORY: Tạo FInventoryItem + FItemQuantity structs. Implement UInventoryManager với AddItem/RemoveItem/GetItemsByType + InitializeDefaultItems (all unlocked 999) + events. Unit tests."
PI-03,SaveManager - UProfileInventorySaveGame + USaveManager,Task,6h,Liêm,1,Core,"Tạo UProfileInventorySaveGame class với SaveVersion + ProfileData + InventoryItems + LastSyncTime/bPendingSync (future Nakama). Implement USaveManager với SaveProfileData/LoadProfileData + SaveInventoryData/LoadInventoryData + SaveAll/LoadAll + HasSaveData/DeleteSaveData + first-time setup + auto-save debounced + validate integrity + handle corrupt data + migration framework. Unit tests cho save/load."
PI-04,Reward Module - FRewardEntry + URewardManager + Loot Table Logic,Task,6h,Hiếu,1,Reward,"Tạo FRewardEntry/FRaceRewardResult/FLootCrateResult structs. Implement URewardManager với ProcessRaceRewards (calculate by position: 1st=3 items+bonus 2nd=2 items 3rd=1 item others=currency) + OpenLootCrate (validate/remove/roll/add) + GrantRewards generic + OnRewardsGranted event. Loot table roll với weighted random based on DropChance + quantity random MinQuantity-MaxQuantity. Unit tests cho reward calculation và loot roll."
PI-05,UI Base Components - WBP_ProfileScreen + WBP_ItemCard + WBP_ItemTab + Rarity Styling,Task,8h,Nam Sơn,1,UI,"Tạo WBP_ProfileScreen layout với 3 panels + tab navigation + responsive mobile. Tạo WBP_ItemCard với icon/name/quantity badge/rarity border (Common=gray Uncommon=yellow Rare=red)/hover states/OnClicked. Tạo WBP_ItemTab với selected/unselected states + OnTabSelected. Setup rarity color system + border styles + gradients. Create 60 placeholder icons + 10 avatar placeholders."
PI-06,Test Plan + Documentation Setup - Test Cases + API Reference Draft,Task,6h,Như,1,Testing/Docs,"Tạo Test Plan document với scope/environment/categories/schedule. Document 70+ test cases: Profile (15+) + Inventory (15+) + Item (10+) + SaveManager (10+) + Reward (10+) + UI (10+) + Edge cases (10+). Draft API Reference với public methods + events + data structures cho mỗi module. Create code review checklist."
PI-07,Profile Integration + Race Hook - SaveManager Integration + Race Stats Update,Task,4h,Đời,2,Profile,"Integrate Profile-SaveManager với auto-save on changes + load on start + handle corrupt data. Hook vào Race completion event để UpdateRaceStats + update TopSpeed nếu cao hơn + update TotalRaceTime + increment position counts (1st/2nd/3rd). Implement online time tracking với periodic save (every 5 min). Bug fixes từ Day 1."
PI-08,Inventory + Item Integration - ItemDatabase + SaveManager + Default Items,Task,4h,Đạt,2,Inventory/Item,"Integrate Inventory-ItemDatabase với validate ItemID + get stackable info + get item type. Integrate Inventory-SaveManager với auto-save + load on start + handle corrupt data. Implement default items initialization: check first-time + add CCV (qty 1) + add CCP (qty 999) + add LC (qty 999). Bug fixes từ Day 1."
PI-09,SaveManager Integration - Connect All Modules + Auto-save + Game Lifecycle,Task,4h,Liêm,2,Core,"Connect SaveManager với ProfileManager (register events + auto-save). Connect với InventoryManager (register events + auto-save). Implement debounced save (batch changes + save after 1s idle). Game lifecycle: load on start + save on exit + save on app background (mobile). Error handling: retry failed saves + notify user. Bug fixes từ Day 1."
PI-10,Reward Integration + Race Hook - Inventory Integration + Loot Crate Flow,Task,4h,Hiếu,2,Reward,"Integrate Reward-Inventory với ProcessRaceRewards adds items + OpenLootCrate removes/adds + GrantRewards works. Hook vào Race completion event để calculate và grant rewards + fire OnRewardsGranted. Implement full loot crate flow: validate exists + roll loot table + add rewards + return result for UI. Bug fixes từ Day 1."
PI-11,Profile & Inventory UI Panels - PanelGenerals + PanelPlayerInfo + PanelInventory + Dialogs,Task,8h,Nam Sơn,2,UI,"WBP_PanelGenerals: Avatar (tap to change) + PlayerName (edit button) + PlayerID (copy button) + VIP Status + Unlock Info + data binding. WBP_PanelPlayerInfo: OnlineTime (HH:MM:SS) + TopSpeed (km/h) + TotalRaceTime + RaceResults (Total/Wins/WinRate/Positions) + data binding. WBP_PanelInventory: ItemsTypeTab + ItemPanel grid + scroll + empty state + filter by tab. WBP_ChangeNameDialog: input + validation + profanity error + confirm/cancel. WBP_AvatarSelection: grid + selection highlight + confirm/cancel."
PI-12,Module Testing - Profile + Inventory + Item + SaveManager + Reward Testing,Task,6h,Như,2,Testing,"Execute Profile tests (name validation + profanity VN/EN/leetspeak + avatar + stats). Execute Inventory tests (add/remove + stackable + limits). Execute Item tests (lookup + filter + data table). Execute SaveManager tests (save/load + first-time + corrupt data). Execute Reward tests (race rewards + loot crate + loot roll). Document all bugs với priorities và assign to devs."
PI-13,Final Integration + Bug Fixes - All Modules UI Binding + Critical Bug Fixes,Task,4h,Đời + Đạt + Hiếu + Liêm,3,Integration,"Đời (~1h): Profile-UI binding final + fix Profile bugs + verify race stats. Đạt (~1h): Inventory-UI binding final + fix Inventory/Item bugs + verify default items. Hiếu (~1h): Reward-UI binding final + fix Reward bugs + verify loot crate flow. Liêm (~1h): SaveManager final verification + fix Save/Load bugs + verify auto-save và game lifecycle."
PI-14,UI Polish + Popups - ItemDetailPopup + RewardNotification + Animations,Task,8h,Nam Sơn,3,UI,"WBP_ItemDetailPopup: full item info + large icon + name/description/rarity + quantity + stats (CCP) + close button + fade animation. WBP_RewardNotification: reward popup animation + item icons + currency/XP display + collect button + auto-dismiss. Animations: panel switch + item card hover + tab selection + dialog open/close. Polish: consistent spacing + touch-friendly sizes + responsive + loading states."
PI-15,Integration Testing + Final Docs - End-to-End Testing + Edge Cases + Documentation,Task,8h,Như,3,Testing/Docs,"Integration tests: Race→Rewards→Inventory flow + Profile update + Save/Load cycle + first-time/returning user. Edge case tests: Inventory full + invalid items + corrupt save + rapid actions. Finalize API reference + add usage examples + document known issues + create troubleshooting guide. Complete release checklist: all features verified + no critical bugs + docs complete + performance acceptable."
